,station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,x_ride_code_support,cross_street,last_updated,ttl
225,235,"AV. PARAL.LEL, 98",ELECTRICBIKESTATION,41.3751767,2.1658972,10,"AV. PARAL.LEL, 98",8015,31,True,1000,True,,1661983179,2
226,236,"AV. PARAL.LEL, 194",ELECTRICBIKESTATION,41.3751161,2.1523091,24,"AV. PARAL.LEL, 194",8015,26,True,1000,True,,1661983179,2
227,237,"C/ RIUS I TAULET, 4",ELECTRICBIKESTATION,41.3727426,2.1539198,33,"C/ RIUS I TAULET, 4",8004,27,True,1000,True,,1661983179,2
228,238,"C/ ESPRONCEDA, 298",ELECTRICBIKESTATION,41.4158807,2.1908473,16,"C/ ESPRONCEDA, 298",8027,27,True,1000,True,,1661983179,2
229,239,"C/ INDÚSTRIA, 329",ELECTRICBIKESTATION,41.4172922,2.1844769,31,"C/ INDÚSTRIA, 329",8027,27,True,1000,True,,1661983179,2
230,240,"C/ JOSEP ESTIVILL, 32",ELECTRICBIKESTATION,41.4175595,2.1877153,23,"C/ JOSEP ESTIVILL, 32",8027,27,True,1000,True,,1661983179,2
231,241,"C/ TEODOR LLORENTE, 1",ELECTRICBIKESTATION,41.419178,2.18018,44,"C/ TEODOR LLORENTE, 1",8041,33,True,1000,True,,1661983179,2
232,242,"C/ RAMON ALBÓ, 1",ELECTRICBIKESTATION,41.4244527,2.1773157,56,"C/ RAMON ALBÓ, 1",8027,27,True,1000,True,,1661983179,2
233,243,"C/ ALEXANDRE GALÍ, 1-5",ELECTRICBIKESTATION,41.4239719,2.1812399,42,"C/ ALEXANDRE GALÍ, 1-5",8027,26,True,1000,True,,1661983179,2
234,244,"C/ FELIP II, 214",ELECTRICBIKESTATION,41.426925,2.1786224,44,"C/ FELIP II, 214",8027,26,True,1000,True,,1661983179,2
235,245,"BITTER KAS-LA RAMBLA, 101",ELECTRICBIKESTATION,41.3826647,2.1717083,10,"BITTER KAS-LA RAMBLA, 101",8002,27,True,1000,True,,1661983179,2
236,246,"C/ GARCILASO, 77",ELECTRICBIKESTATION,41.4228449,2.1866363,30,"C/ GARCILASO, 77",8027,18,True,1000,True,,1661983179,2
237,247,"C/ FELIPE II, 112",ELECTRICBIKESTATION,41.4219291,2.1849107,32,"C/ FELIPE II, 112",8027,32,True,1000,True,,1661983179,2
